arabic,pronunciate,english
خَيْل,(ḵayl),horses
دَيْن,(dayn),religion
ذَا,(ḏā),That
رَشَد,(rašad),Rushd
رُعْب,(ruʿb),horror
رَقِيب,(raqīb),Sergeant
زَيْتُون,(zaytūn),olive
سَاجِد,(sājid),prostrate
سَلَم,(salam),Ladder
سَوْءَٰت,(sawʾāt),Sweat
شَٰرِبِين,(šāribīn),Two
شَاعِر,(šāʿir),Poet
شِرْك,(širk),Trap
شَطْر,(šaṭr),Destroy
صَٰغِرُون,(ṣāḡirūn),They are workers
صَٰلِح,(ṣāliḥ),reconciliation
صَدَقَة,(ṣadaqa),charity
صِدِّيق,(ṣiddīq),Friend
صَيْد,(ṣayd),Fishing
ضَيْف,(ḍayf),Guest
طَرَف,(ṭaraf),party
طَرِيقَة,(ṭarīqa),method
ظَلَّٰم,(ẓallām),unfairness
عَدَد,(ʿadad),Number
عَزْم,(ʿazm),determination
عُسْر,(ʿusr),Asir
عَشْر,(ʿašr),ten
عَطَآء,(ʿaṭaʾāʾ),tender
عَفُوّ,(ʿafuww),pardon
عَلَقَة,(ʿalaqa),Leech
غَد,(ḡad),Tomorrow
غُدُوّ,(ḡuduww),Ghadu
غُرْفَة,(ḡurfa),room
غَفْلَة,(ḡafla),negligence
فَوْج,(fawj),regiment
قَآئِل,(qaʾāʾil),He said
قَارِعَة,(qāriʿa),get even with
قَيِّم,(qayyim),Values
كَآفَّة,(kaʾāffa),all
كَاتِب,(kātib),clerk
كَرْه,(karh),a ball
كَلْب,(kalb),dog
كَوْكَب,(kawkab),planet
لَوْح,(lawḥ),Woe
مُبْطِلُون,(mubṭilūn),They are invalidated
مُتْرَفِين,(mutrafīn),Identists
مُتَشَٰبِه,(mutašābih),Speck
مَحِيص,(maḥīṣ),Checker
مُخْرَج,(muḵraj),Director
مَرْضَات,(marḍāt),Illnesses
مِرْيَة,(mirya),Mary
مُسَمًّى,(musamman),Name
مُصْبِحِين,(muṣbiḥīn),Plain
مُصْلِح,(muṣliḥ),reformer
مُطَهَّرَة,(muṭahhara),Purification
مَع,(maʿ),with
مَعْدُودَة,(maʿdūda),Modernity
مَكَانَت,(makānat),It was placed
مَلُوم,(malūm),Malum
مُنَٰفِقَٰت,(munāfiqāt),It is aggravated
مُنِير,(munīr),Mounir
مَهْد,(mahd),cradle
مُهْلِك,(muhlik),lethal
مُوقِنِين,(mūqinīn),Distinguished
مَيْتَة,(mayta),Death
نَٰدِمِين,(nādimīn),We are two
نَٰظِرِين,(nāẓirīn),We are arrogant
نُبُوَّة,(nubuwwa),prophecy
نُشُور,(nušūr),resurrection
نُفُور,(nufūr),aversion
نِكَاح,(nikāḥ),fuck
وَازِرَة,(wāzira),And a visit
وَاقِع,(wāqiʿ),reality
وُسْع,(wusʿ),Exclusive
يَحْيَىٰ,(yaḥyā),Yahya
يَسِير,(yasīr),Walking
أَحْبَار,(ʾaḥbār),Darb
أَخْسَرِين,(ʾaḵsarīn),Lose
أَرْحَم,(ʾarḥam),I have mercy
أَرْذَل,(ʾarḏal),Remove
أَزْكَىٰ,(ʾazkā),Zaki
إِسْتَبْرَق,(ʾistabraq),Check out
أَسْلِحَت,(ʾasliḥat),I weard
أَسِير,(ʾasīr),prisoner
أَطْهَر,(ʾaṭhar),Check out
أَصِيل,(ʾaṣīl),genuine
أَقْوَم,(ʾaqwam),I resort
أَكْل,(ʾakl),ate
أَكِنَّة,(ʾakinna),It is
أَكْوَاب,(ʾakwāb),Glasses
أَمَٰنَٰت,(ʾamānāt),I am
أَمَد,(ʾamad),Emanate
أَمْس,(ʾams),yesterday
أَيْكَة,(ʾayka),copse
أَيْن,(ʾayn),where
أَيُّوب,(ʾayyūb),Ayoub
بَأْسَآء,(baʾsaʾāʾ),Basis
