arabic,pronunciate,english
خَيْل,(ḵayl),horses
رَشَد,(rašad),Rushd
سَاجِد,(sājid),prostrate
شِرْك,(širk),Trap
شَطْر,(šaṭr),Destroy
صَٰغِرُون,(ṣāḡirūn),They are workers
صَٰلِح,(ṣāliḥ),reconciliation
صَدَقَة,(ṣadaqa),charity
صِدِّيق,(ṣiddīq),Friend
صَيْد,(ṣayd),Fishing
طَرَف,(ṭaraf),party
طَرِيقَة,(ṭarīqa),method
عَزْم,(ʿazm),determination
عُسْر,(ʿusr),Asir
عَطَآء,(ʿaṭaʾāʾ),tender
غُدُوّ,(ḡuduww),Ghadu
غَفْلَة,(ḡafla),negligence
فَوْج,(fawj),regiment
قَآئِل,(qaʾāʾil),He said
كَوْكَب,(kawkab),planet
مُتْرَفِين,(mutrafīn),Identists
مَحِيص,(maḥīṣ),Checker
مَرْضَات,(marḍāt),Illnesses
مُصْلِح,(muṣliḥ),reformer
مَع,(maʿ),with
مَعْدُودَة,(maʿdūda),Modernity
مَكَانَت,(makānat),It was placed
مَلُوم,(malūm),Malum
مُنَٰفِقَٰت,(munāfiqāt),It is aggravated
مَيْتَة,(mayta),Death
نُشُور,(nušūr),resurrection
نُفُور,(nufūr),aversion
وَازِرَة,(wāzira),And a visit
وَاقِع,(wāqiʿ),reality
وُسْع,(wusʿ),Exclusive
أَكِنَّة,(ʾakinna),It is
أَمَٰنَٰت,(ʾamānāt),I am
أَمْس,(ʾams),yesterday
أَيْن,(ʾayn),where
بَأْسَآء,(baʾsaʾāʾ),Basis
